,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG,TMAX,TMIN,Yearly_AVG
39,USC00099194,"WAYNESBORO 2 S, GA US",33.071290000000005,-82.00728000000001,84.4,2005,13.0,98.0,63.9,74.9,53.0,62.92857142857144
40,USR0000GPLA,"PLAINS SUMTER GEORGIA, GA US",32.0097,-84.33,160.3,2005,17.0,96.0,65.0,75.4,54.7,62.92857142857144
41,USC00098241,"SPRINGFIELD, GA US",32.35879,-81.31181,25.6,2005,,,,,,62.92857142857144
42,USW00053838,"GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US",34.27194,-83.83028,388.6,2005,16.0,96.0,61.2,70.4,51.9,62.92857142857144
43,USC00091965,"CLARKESVILLE, GA US",34.6159,-83.5429,423.7,2005,,94.0,,69.5,,62.92857142857144
44,USC00094204,"HAZLEHURST, GA US",31.8878,-82.5808,76.2,2005,,98.0,,76.8,,62.92857142857144
45,USC00090236,"ALTO 4 SE, GA US",34.4416,-83.5161,279.8,2005,11.0,95.0,59.4,70.5,48.2,62.92857142857144
46,USC00093465,"FOLKSTON 9 SW, GA US",30.74,-82.1278,36.6,2005,21.0,100.0,68.9,80.3,57.5,62.92857142857144
47,USC00094728,"JULIETTE, GA US",33.1139,-83.7881,137.2,2005,,,,,,62.92857142857144
48,USR0000GJON,"JONES ISLAND GEORGIA, GA US",30.8289,-82.36,34.7,2005,23.0,99.0,68.1,78.6,57.5,62.92857142857144
49,USW00093842,"COLUMBUS METROPOLITAN AIRPORT, GA US",32.5161,-84.9422,119.5,2005,20.0,98.0,65.9,76.0,55.7,62.92857142857144
50,USC00093060,"ELBERTON 2 N, GA US",34.1409,-82.8551,164.6,2005,10.0,94.0,58.4,69.8,47.0,62.92857142857144
51,USW00093845,"VALDOSTA REGIONAL AIRPORT, GA US",30.7825,-83.27667,60.4,2005,20.0,100.0,67.3,78.5,56.0,62.92857142857144
52,USC00091619,"CARNESVILLE, GA US",34.36555,-83.23278,204.2,2005,,,,,,62.92857142857144
53,USR0000GNEW,"NEWNAN GEORGIA, GA US",33.3653,-84.8594,236.2,2005,13.0,98.0,62.2,73.4,50.9,62.92857142857144
54,USR0000GTAL,"TALLULAH NUMBER 1 GEORGIA, GA US",34.9058,-83.3344,831.5,2005,10.0,90.0,57.7,65.1,50.3,62.92857142857144
55,USW00013869,"ALBANY SW GEORGIA REGIONAL AIRPORT, GA US",31.535559999999997,-84.19444,57.9,2005,18.0,98.0,67.2,78.4,56.1,62.92857142857144
56,USC00090406,"ASHBURN 3 ENE, GA US",31.70028,-83.62306,132.6,2005,,,,,,62.92857142857144
57,USR0000GDAW,"DAWSONVILLE GEORGIA, GA US",34.3761,-84.0597,369.7,2005,9.0,97.0,60.4,71.9,48.9,62.92857142857144
58,USC00092429,"CURRYVILLE 3 W, GA US",34.4397,-85.1033,188.1,2005,,,,,,62.92857142857144
59,USR0000GCHA,"CHATTOOGA NUMBER 1 GEORGIA, GA US",34.6403,-83.5219,457.2,2005,11.0,96.0,58.9,69.7,48.1,62.92857142857144
60,USR0000GMCR,"MCRAE GEORGIA, GA US",32.0097,-82.9,76.2,2005,15.0,102.0,66.1,78.1,54.1,62.92857142857144
61,USR0000GATH,"WATKINSVILLE GEORGIA, GA US",33.8967,-83.3656,205.7,2005,12.0,99.0,62.4,73.5,51.3,62.92857142857144
62,USC00094676,"JESUP 8 S, GA US",31.5075,-81.8628,30.5,2005,,,,,,62.92857142857144
63,USC00095404,"MABLETON 1 N, GA US",33.8533,-84.5783,298.7,2005,,,,,,62.92857142857144
64,USC00093754,"GLENNVILLE 3 NW, GA US",31.988000000000003,-81.9522,61.0,2005,,,,,,62.92857142857144
65,USC00093115,"ELLIJAY, GA US",34.6937,-84.4935,414.2,2005,,,,,,62.92857142857144
66,USC00096219,"NAHUNTA 6 NE, GA US",31.2738,-81.9197,20.7,2005,21.0,97.0,66.1,78.3,53.8,62.92857142857144
67,USW00013870,"ALMA BACON CO AIRPORT, GA US",31.5358,-82.5067,58.8,2005,23.0,98.0,66.7,77.6,55.7,62.92857142857144
68,USC00092266,"CORDELE, GA US",31.985,-83.77472,93.9,2005,,101.0,,78.8,,62.92857142857144
69,USC00092783,"DOUGLAS, GA US",31.48889,-82.82056,71.0,2005,,,,,,62.92857142857144
70,USC00097827,"SAUTEE 3 W, GA US",34.6646,-83.7342,484.9,2005,6.0,86.0,54.3,64.3,44.3,62.92857142857144
71,USW00013878,"BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US",31.1522,-81.3908,4.9,2005,24.0,95.0,67.6,75.4,59.8,62.92857142857144
72,USW00013874,"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US",33.6301,-84.4418,307.8,2005,16.0,94.0,62.3,71.4,53.1,62.92857142857144
73,USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",33.948,-83.3275,239.3,2005,14.0,97.0,61.9,72.6,51.3,62.92857142857144
74,USC00098064,"SILOAM 3 N, GA US",33.5635,-83.0768,211.8,2005,14.0,99.0,61.9,73.6,50.2,62.92857142857144
75,USR0000GCOO,"ADEL GEORGIA, GA US",31.1097,-83.4269,46.9,2005,24.0,98.0,67.4,77.6,57.2,62.92857142857144
76,USC00096043,"MORGAN 5 NW, GA US",31.606109999999997,-84.64528,83.2,2005,,,,,,62.92857142857144
77,USC00099157,"WASHINGTON, GA US",33.7264,-82.7059,189.0,2005,,,,,,62.92857142857144
78,USC00098740,"TOCCOA, GA US",34.5786,-83.3319,308.5,2005,,98.0,,73.1,,62.92857142857144
79,USW00013837,"AUGUSTA DANIEL FIELD AIRPORT, GA US",33.46694,-82.03860999999999,128.9,2005,18.0,100.0,65.2,74.7,55.7,62.92857142857144
80,USC00092517,"DANIELSVILLE, GA US",34.1175,-83.3044,237.7,2005,15.0,96.0,60.4,71.2,49.7,62.92857142857144
81,USC00094941,"CHICKAMAUGA 2 SW, GA US",34.853,-85.3142,243.5,2005,16.0,95.0,59.0,71.1,46.9,62.92857142857144
82,USC00094700,"JONESBORO, GA US",33.5312,-84.3545,283.5,2005,,,,,,62.92857142857144
83,USC00093325,"FARGO 17 NE, GA US",30.8264,-82.3606,37.8,2005,22.0,100.0,67.8,79.2,56.3,62.92857142857144
84,USR0000GMCI,"MILLEDGEVILLE GEORGIA, GA US",32.7797,-83.25,128.0,2005,19.0,99.0,65.5,76.2,54.8,62.92857142857144
85,USC00091266,"BROOKLET 1 W, GA US",32.375,-81.6731,54.9,2005,20.0,99.0,65.8,76.4,55.1,62.92857142857144
86,USC00094429,"HOMERVILLE 5 N, GA US",31.0767,-82.8003,57.0,2005,,98.0,,77.6,,62.92857142857144
