OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1336332,Smoking,NY,4/10/2005,4/10/2005,2005,2.25,42.10327551,-75.82659527,0
1336333,Smoking,NY,5/11/2005,5/11/2005,2005,0.5,42.08707059,-75.91645731,0
1336334,Miscellaneous,NY,5/11/2005,5/11/2005,2005,0.5,42.10908576,-75.86802831,0
1336335,Debris Burning,NY,5/11/2005,5/11/2005,2005,0.5,42.10708401,-75.93721001,0
1336336,Miscellaneous,NY,5/19/2005,5/19/2005,2005,0.1,42.09753197,-75.9136744,0
1336337,Miscellaneous,NY,5/21/2005,5/21/2005,2005,0.5,42.10687277,-75.93683159,0
1336338,Equipment Use,NY,5/21/2005,5/21/2005,2005,0.5,42.09440562,-75.92530186,0
1336339,Miscellaneous,NY,6/24/2005,6/24/2005,2005,0.1,42.10781433,-75.90253635,0
1336340,Miscellaneous,NY,7/25/2005,7/25/2005,2005,0.1,42.1044142,-75.87502274,0
1336341,Miscellaneous,NY,7/28/2005,7/28/2005,2005,0.1,42.09713984,-75.94750305,0
1336342,Miscellaneous,NY,8/5/2005,8/5/2005,2005,1,42.10001796,-75.89096903,0
1336343,Miscellaneous,NY,8/12/2005,8/12/2005,2005,0.5,42.1133905,-75.88822992,0
