OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1815249,Smoking,WA,8/1/2015,8/3/2015,2015,0.1,45.6812,-122.1318,2
1815254,Smoking,WA,7/27/2015,8/4/2015,2015,0.1,48.7651,-122.5187,8
1815256,Smoking,WA,8/1/2015,8/4/2015,2015,0.1,47.9141,-117.4486,3
1815260,Smoking,WA,8/1/2015,8/5/2015,2015,0.01,48.6541,-119.3023,4
1815274,Smoking,WA,7/27/2015,8/8/2015,2015,0.1,48.6584,-122.458,12
1815356,Smoking,WA,8/2/2015,9/7/2015,2015,1.12,47.7667,-117.3618,36
1815429,Smoking,WA,10/2/2015,10/9/2015,2015,0.01,47.7422,-117.3939,7
1817007,Campfire,WA,4/26/2015,5/15/2015,2015,0.1,48.3627,-119.6916,19
1817036,Campfire,WA,5/14/2015,5/18/2015,2015,0.1,47.6887,-117.3343,4
1817048,Campfire,WA,5/15/2015,5/19/2015,2015,0.1,48.7767,-119.6809,4
1817050,Campfire,WA,5/18/2015,5/20/2015,2015,0.75,45.6882,-121.0992,2
1817059,Campfire,WA,5/22/2015,5/22/2015,2015,0.01,46.9633,-123.1572,0
1817148,Campfire,WA,5/25/2015,5/27/2015,2015,0.01,45.9572,-120.9246,2
1817149,Campfire,WA,5/25/2015,5/27/2015,2015,0.1,47.9708,-120.1554,2
1817225,Campfire,WA,6/4/2015,6/4/2015,2015,0.1,47.3066,-120.3069,0
1817233,Campfire,WA,6/6/2015,6/6/2015,2015,0.25,47.1366,-120.3521,0
1817250,Campfire,WA,6/7/2015,6/9/2015,2015,0.1,48.4586,-122.607,2
1817278,Campfire,WA,6/5/2015,6/14/2015,2015,0.01,48.6141,-117.1964,9
1817288,Campfire,WA,6/16/2015,6/16/2015,2015,0.1,46.922,-123.6944,0
1817293,Campfire,WA,6/12/2015,6/18/2015,2015,0.1,48.6904,-122.4821,6
1817305,Campfire,WA,6/15/2015,6/21/2015,2015,0.1,47.7059,-117.2908,6
1817306,Campfire,WA,6/21/2015,6/22/2015,2015,0.01,47.1204,-120.3884,1
1817309,Campfire,WA,6/16/2015,6/22/2015,2015,0.01,47.8439,-117.6405,6
1817317,Campfire,WA,6/21/2015,6/24/2015,2015,0.01,47.9378,-117.1484,3
1817320,Campfire,WA,6/20/2015,6/25/2015,2015,1,47.6496,-117.2935,5
1817321,Campfire,WA,4/25/2015,6/25/2015,2015,0.01,47.8378,-117.5509,61
1817322,Campfire,WA,6/13/2015,6/26/2015,2015,0.5,48.357,-122.5215,13
1817330,Campfire,WA,6/14/2015,6/30/2015,2015,2.5,46.9598,-123.7635,16
1817331,Campfire,WA,6/25/2015,7/1/2015,2015,0.1,48.2851,-122.5367,6
1817332,Campfire,WA,7/1/2015,7/1/2015,2015,0.01,45.6815,-122.2722,0
1817334,Campfire,WA,6/25/2015,7/2/2015,2015,1,47.6909,-122.7887,7
1817336,Campfire,WA,6/26/2015,7/3/2015,2015,0.01,48.8594,-117.366,7
1817338,Campfire,WA,7/3/2015,7/3/2015,2015,0.1,46.3963,-124.0262,0
1817363,Campfire,WA,7/10/2015,7/10/2015,2015,0.01,46.4163,-123.8261,0
1817369,Campfire,WA,6/20/2015,7/12/2015,2015,0.25,47.0371,-122.6772,22
1817371,Campfire,WA,7/9/2015,7/13/2015,2015,0.1,47.6289,-117.2517,4
